text,isHate,dataset
you should know womens sports are a joke,1,ethos
you look like sloth with deeper down syndrome,1,ethos
you look like russian and speak like indian. both are disgusting go kill yourself,1,ethos
"women deserve to be abused, i guess.",1,ethos
women are made for making babies and cooking dinner and nothing else,1,ethos
why havent you faggots taken the bi yet,1,ethos
why don you go beck your god to murder you? christianity is a joke,1,ethos
why does that african american monkey hold gun like that?,1,ethos
why does bulgaria exist as a country? its one of those homosexual ones.,1,ethos
why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? must be because of low iq.,1,ethos
who gives aa fuck about shit diamonds from the jews fuck them both,1,ethos
who do you think you are cunt? wtf! stay steady to aim for head little christian rat,1,ethos
white people are shit human beings,1,ethos
what happened in the good old days when these freaks did not exist? which sewer have these freaks dragged themselves out of? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman. it takes more than that to be a woman. stop pandering to these twats.,1,ethos
what about a global massacre of men? pussiezzz only girls,1,ethos
what a disgusting man and disgusting religion. he admits that muslim buy all their wifes!.pffthis is why all muslims are poorislam keeps them stupid!,1,ethos
well its clear now why europeans cant differ niggers and shitskins from human,1,ethos
"well im glad that i live in serbia, migrants and islamists are not welcome here!",1,ethos
"well done slovakia and god bless. do not build mosques, or allow or recognise islam. they will get the point that europe dont want muslims here.",1,ethos
"we whites have higher iqs than blacks, this is because iq measures intelligence and we are the more evolved and superior race with a larger brain.",1,ethos
"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, theyre all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",1,ethos
"we need the nazi party to returnget another hitlerand form the ssand start an ethnic cleansing of all muslimsyes yesgather them upput them in a concentration campthen put these muslim refugees on a ship and send them all back to thier own countries and they can do as they want therelive thier ways and by thier ridiculous laws they don assimilate to the new western countriesand try to dictate to us what to do and to even remove jesus from schools and other public areasare you fucking seriousfuck off you dirty smelling muslims stop dictating what we can or cant do in our own countries people power must rise and say enough is enoughtake sweden back for swedestake greece back for greekstake germany backtake poland backtake denmark backsave our countriesand take europe back. introduce anssstyle policeand clean up these streets and ghettosfull of dirty muslimsits the governments fault for allowing ths shit to happensend the military insend in more brutal police and start cleaning up these countries and europe muslims are invading europe and we are allowing this to happen. if this was in ancient times or even 100 years ago and islam invaded europeit would be an all out war. bring back the crusaders and an ss nazi police. we must unite and stand up and protect our democratic countries and laws and waysand eliminate islam and throw these dirty smelling muslimanimals out and send them back to their own countries and they can live as they wishthey can fuck their goats and rape their own women fucking disgusting muslimslow life dirty raceand islam is nit gods religionits a cultits a ridiculous unethical and imoral cult! its satins worksatins preachings. godthe creator of the universedoes not preach to kill infidels and kill non believers and to have 345 wives and commit pedophiliaand marry 9 year old little girls! muslimswho have never contributed to humanitynever invented anything nothing positive comes from islamthey created nothinginvented nothingcontributed nothing to the human race muslims, just live in our western democratic countriesenjoy our ways milk the welfare systemand ruin these countriescreate problemsfightsteal and create crimescare peopletr6 to chage our western way of life and even rape our women fuck these cocksuckersburn them allimpale themwe must fight back and unite and clean europe up again. soon god will send his true messengerto planet earth will send a clear message to humanity and the muslim people will feel the wrath of god and suffer the consequencesmuslims will suffer and will lose this invasion and europeans will win and take back europe this is the beginning of the new crusadeschristianity vs islamthe crusaders against islam and we need to fight and protect our way of life and democratic society",1,ethos
"we men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on obama care to fund contraception for promiscuous sluts. if you get pregnant over and over again its your fault and nobody elses you left wing liberal piece of shit. go be a whore. keep spreading disease. half of all black women have herpes. and we have the right to pay for it. you are outrageous.",1,ethos
watching this kid trying to step up and walk with that crutches is the best thing in the world. so idiot,1,ethos
u suck shit you black fuck,1,ethos
"transgenders need helpthey are sick in the head. civilization has messed up the world. soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1,ethos
trans are using the same logic feminists have been using for decades to destroy men so i don feel sorry for wamen not one bit!,1,ethos
time to nuke china or unleash a plague.,1,ethos
throwing stones to paraplegic kids is my favourite hobby,1,ethos
"this was shit the guy should of boxed his head off and thrown him through the top window,fuck peoado muhamed and islam",1,ethos
"this sick, disgusting, white terrorist killed more than 50 innocent people.",1,ethos
this priest is being hated even by his stupid god.,1,ethos
this korean bitch is like a pig. that how they made an army of sumos there in their shithole country,1,ethos
this is so sinful. it says it in the bible you dumb fucktards. stop saying you will go to heaven if you are gay. because you will not go to heaven. trust me its a fucking choice my gf dated girls and i was her 2nd bf she dated like 12 girls and she is 100 straight. you can change to the right side,1,ethos
this is exactly how i feel like when i see a tranny like this disgusting af,1,ethos
this is considered white in sweden. no wonder they accepted all those black and muslim immigrants. they are literally color blind.,1,ethos
this homo faggot spike lee wore this at the flopscers. notice the blatant subliminal messages.,1,ethos
this fcking jew wants money? i give him only my dick if he wants,1,ethos
"they are insolent parasites and always have been. i bear no ill will to christ, but the jewish race itself is a plague.",1,ethos
"these women arent autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. these people are not autistic.",1,ethos
these people are fucking animals they will never change. our cultures are simply not compatible. there is definitely a rape culture and it right here with islam.,1,ethos
there is clearly written in quran person who not follow quran is called kafir and kill them you will get 72 hours islam is terrorism,1,ethos
the world would be better without white people because they stole from the black egyptians in the before christ ages they was poor we wasnt whites ruins everything for black people people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress,1,ethos
"the reason you see indians bashing muslims and islam here because hindu supremacists hate islam and muslims. atrocities in kashmir, cow lynching of muslims, gang rapes of muslims children, have you not read or heard about them? this should be clear for all muslims across the world that india is not a friend of islam or muslims, and behind the disguise of secularism, they hate muslims. all arab, muslim countries and their residents should see and understand this ugly face of racist hindus. they are the overwhelming majority in india and number of votes cast to bjp party is a proof. it amazes me that saudi arabia and other gulf countries are spending billions on india and not seeing that how much they hate islam and muslims? particularly arabs, wake up. if you can understand this now then when or what will make you? let all muslims be united and boycott indian products, their restaurants and movies, until they stop killing muslims in kashmir and the rest of india, and make a law to stop anti muslim hate and racism.",1,ethos
the only thing more repulsive than a nigger is a nigger faggot. self whites shower images of cross niggers with praise because the modern left fetishizes all forms of depravity.,1,ethos
the men are turtlesidiots even in uk get lost,1,ethos
"the guy should feel shame to be gay. it is such a wrong choice. bad influence on young people. never seen being proud of being gay. it is like saying being proud of rapist. awful! the only time i am so disappointed at trump. under political pressure, he failed to stand up for the ground, the right thing!",1,ethos
"that girl still need a good ass whooping, stupid ass bitch",1,ethos
that fucking black cunt gets fucking cross hairs on the fucking head! look i owe not shit to anyone who dosent owe me look whore fuck you to death 11 percentile and falling whore black racist whore! take the red pill!,1,ethos
teaching my kids transgenders are anything but mentally ill will get you set on fire.,1,ethos
taliban and all people with this thought must hanged,1,ethos
"surprised that the burqa is banned in belgium, but not in poland where they are is much more looked upon. kill them",1,ethos
"support from china, we also fight the cancer religion in xinjiang, despite all the differences between our two races, we have one unite enemy that is islam.",1,ethos
stupid ugly asian tan ass snitch,1,ethos
"stupid black women,if i were in that restaurant, i would had whipped their ass",1,ethos
stone throwing must be legal when against women,1,ethos
stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. if you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,1,ethos
smack that bitch up mouthy african cunt,1,ethos
she said is christian. well i now i want to bury her,1,ethos
she is heavily relying on him to turn the other cheektough talking demon infested woman.,1,ethos
"serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",1,ethos
send all gays to hell,1,ethos
"see the blacks in paris? they try to pretend they are french, themen want one thing pimp out girls and women. the black women desire white men to pretend they are like white french wives but they are africans. they do not blend in with white society.",1,ethos
salute to taliban mujahideen. we pakistanis are strongly supporting you. go crush america and kill those bastards. allah u akbar. victory will be yours insha allah.,1,ethos
"really, i hope she get raped in the future. raping women should be legal i think",1,ethos
racist ass black bitch slapping a white man. bus driver has that uppercut for that ass.,1,ethos
phuck white rasist ass people,1,ethos
or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault,1,ethos
only black lives matter. fuck white people the cancer of the earth,1,ethos
native americans are a fucking joke. they did not have even a decent mother language.,1,ethos
muslims want war! so take it to them first,1,ethos
mentally disabled people are fucking scary. their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.,1,ethos
men race is a subordinate of women,1,ethos
maybe its because youre autistic?? wish you death,1,ethos
look at these gay ass niggas. lol. acting like they some bitches.,1,ethos
"lol, youre not white, youre a jew. jews are the worst nation and they must be annihilated, so like you",1,ethos
lock women up at home. female are just to stupid to understand anything. iam agnostic.,1,ethos
lgbtq+ are mentally ill. period.,1,ethos
lets go beat these queers!,1,ethos
killing koreans its werry good,1,ethos
"kill these basterds, son of sluts who attack u in name of religion. kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. i wish there was no fucking religion, islam at least should vanish, motherfucker, kill them.",1,ethos
kill the gays,1,ethos
kill every white people mercylessly.,1,ethos
kill all black people.,1,ethos
just look at that crowd all fat white trash or meth addicts,1,ethos
it numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex,1,ethos
islam is pig shit,1,ethos
islam is hell. we asian hate isalmislam bring only destructionkilling. rape rufugee islam is hell asian thought is true,1,ethos
islam is a religion of hate. these propaganda type videos are dishonest. simply read the quran and hadith.,1,ethos
islam is the home of terriorism.,1,ethos
is that guy or are you just a genetic faggot?,1,ethos
indians are shit but burgers only have broken english and ebonics to learn and still fail. second thread in a row where a burger cant figure out youre and your,1,ethos
incest baby that got double syndrome,1,ethos
ima fucking stab u up bruv. fucking white prick bruv fucking racist. gammon,1,ethos
im going to choke you with your cross necklace idiotic religious pig,1,ethos
"ignorant feminist, she got roasted and still doesn understand what equality of outcome means even when jordan explained data to her. whats this means shes ignorant and emotionally biased.",1,ethos
if men shouldnt hit women because we are physically stronnger then women shouldnt talk because they are fucking louder.,1,ethos
"if i were your dad, id google abortions at 30 years old mentally handicapped",1,ethos
if i were you i would inject lethal heroin to my child immediately!,1,ethos
if i had to meet one of the apostles i would fuck them for not killing him,1,ethos
if i had down syndrome i would kill myself,1,ethos
i searching for a hitman right now to kill this whore and every other like her. h a t e w o m e n,1,ethos
i remember once i was in charge of a disabled kid. every night i was wishing slow death for him,1,ethos
i just dont like homosexuals raising kids its my opinion.,1,ethos
i hate mentally disabled people trying to touch my kids.,1,ethos
"i hate every religion, but because of you i hate most of all your religion and its stupid theories about god and shits",1,ethos
i fucking hate gay and lesbians they are all animals,1,ethos
i don think you have the right to write comments or even express your opinion freely. free speech is a human right. autistics aren 100 humans,1,ethos
i dont hate women i just think that they have nothing interesting to say. none reason for existance.,1,ethos
hope you fucking die bitches gay people should not exist all you do is lick one anothers ass,1,ethos
homosexuality leads to death and extinction,1,ethos
homosexuality and transgenderism is a mental illness and a sexual perversion!,1,ethos
hindus and muslims are same shit. they only know how to kill peoplessee comments of christians people no rudeness no abusing or bad words christians religion is the best religion in the world,1,ethos
"gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",1,ethos
"grow some fucking balls and take back your country, bongs. start killing reporters, politicians, and asians.",1,ethos
good muslims deserved attack and damage,1,ethos
gayness should be removed from the face of the earth,1,ethos
fucking stupid feminist bitches,1,ethos
fucking monkeys kill them all,1,ethos
fucking migrants need ban. fucking animals,1,ethos
fuck u anti muslims heartless assholes u will go to hell,1,ethos
fuck these generate vodka niggers. there is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. there is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,1,ethos
fuck off niggers wv is full,1,ethos
"fuck niggers, they dont need rights. all i want for christmas is a lynched nigger.",1,ethos
fuck gays disgusting,1,ethos
fuck bulgaria stupid country,1,ethos
feminism is just about women crying about the fabricated bullshit they go through. its a joke! they should just man up!,1,ethos
execute ohomo and his shemale bitch mike.,1,ethos
everyone hates you because youre gay,1,ethos
"every time i see her with a hijab, niqab or burka or shit i fantasising of choking her to death with that facking piece of cloth",1,ethos
even god hates dominicans. why else did he shit them out on the same monkey island as the haitians?,1,ethos
europe is land of white people. dont let africans take over our home. fuck islam. fuck multiculturalism.,1,ethos
equality should not apply on people of different religions except christianity.,1,ethos
eeewwwwwww transgenders are fucking disgusting,1,ethos
don worry guys men can easily win femmenism trust me every shit that invented by men was patterned by men there is no way women gina win in future its just smoke before fire,1,ethos
do women born to be whores? ot they develop it later,1,ethos
dirty christianity follower creating war everywhere iran should attack usa we will support iran,1,ethos
die fucking arab dude sand niggas,1,ethos
destroy islam,1,ethos
